name,run,index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
duplicates_100.0,1,1,1,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
duplicates_100.0,1,2,1,0.1098,3,0.12,0.11,0.22999999999999998,0.64,0.0,6181941248,1310720,6183251968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
duplicates_100.0,1,3,1,0.2174,3,0.25,0.25,0.5,1.18,0.0,6180773888,1310720,6182084608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
duplicates_100.0,1,4,1,0.3228,3,0.4,0.49,0.89,1.58,0.0,6184189952,1310720,6185500672,0,62,0,16252928,0,89,97,1,1,66,487,0,0,0,0
duplicates_100.0,1,5,1,0.4313,3,0.52,0.73,1.25,2.04,0.01,6172459008,1310720,6173769728,0,822,0,34529280,0,172,252,2,2,952,581,0,0,0,0
duplicates_100.0,1,6,1,0.5368,3,0.57,0.87,1.44,2.66,0.01,6169169920,1310720,6170480640,2,957,32768,52977664,1,225,345,3,3,1018,1065,0,0,0,0
duplicates_100.0,1,7,1,0.6434,3,0.62,1.01,1.63,3.25,0.02,6159622144,1310720,6160932864,2,1993,32768,69623808,1,328,519,6,6,3528,1347,0,0,0,0
duplicates_100.0,1,8,1,0.7525,3,1.04,1.3,2.34,3.35,0.05,6161272832,1310720,6162583552,2,2161,32768,71106560,1,431,664,7,7,3594,1856,0,0,0,0
duplicates_100.0,1,9,1,0.86,3,1.25,1.4,2.65,3.83,0.07,6171402240,1310720,6172712960,2,2245,32768,71737344,1,478,726,9,9,4631,2335,0,0,0,0
duplicates_100.0,1,10,1,0.9689,3,1.44,1.56,3.0,4.31,0.07,6188097536,1310720,6189408256,2,2252,32768,71811072,1,480,731,9,9,4631,2335,0,0,0,0
duplicates_100.0,1,11,1,1.0762,3,1.58,1.62,3.2,4.93,0.08,6205874176,1310720,6207184896,2,2265,32768,71901184,1,491,742,9,9,4631,2335,0,0,0,0
duplicates_100.0,1,12,1,1.1846,3,1.75,1.76,3.51,5.44,0.08,6210367488,1310720,6211678208,2,2286,32768,72073216,1,505,765,10,15,4691,2943,0,0,0,0
duplicates_100.0,1,13,1,1.2934,3,1.87,1.83,3.7,6.09,0.08,6189019136,1310720,6190329856,4,2286,40960,72073216,3,505,768,10,16,4691,3029,0,0,0,0
duplicates_100.0,1,14,1,1.402,3,1.98,2.18,4.16,6.45,0.1,6201135104,1310720,6202445824,264,2302,19906560,72220672,390,516,881,11,18,4813,3271,0,0,0,0
duplicates_100.0,1,15,1,1.5083,3,2.16,2.37,4.53,6.89,0.1,6234071040,1310720,6235381760,317,2302,23011328,72220672,470,516,898,11,18,4813,3271,0,0,0,0
duplicates_100.0,1,16,1,1.6165,3,2.33,2.51,4.84,7.42,0.11,6234779648,1310720,6236090368,348,2302,24559616,72220672,487,516,932,11,18,4813,3271,0,0,0,0
duplicates_100.0,1,17,1,1.724,3,2.41,2.59,5.0,8.06,0.15,6242095104,1310720,6243405824,406,2302,54034432,72220672,570,516,1014,11,18,4813,3271,0,0,0,0
duplicates_100.0,1,18,1,1.831,3,2.6,2.67,5.27,8.61,0.18,6243618816,1310720,6244929536,482,2302,57434112,72220672,585,516,1080,11,19,4813,3361,0,0,0,0
duplicates_100.0,1,19,1,1.9359,3,2.76,2.71,5.47,9.21,0.2,6243893248,1310720,6245203968,560,2302,60047360,72220672,609,516,1168,11,21,4813,3469,0,0,0,0
duplicates_100.0,1,20,1,2.0411,3,2.9,2.76,5.66,9.81,0.22,6247006208,1310720,6248316928,646,2302,65609728,72220672,637,516,1254,11,21,4813,3469,0,0,0,0
duplicates_100.0,1,21,1,2.1462,3,3.14,2.8,5.9399999999999995,10.34,0.23,6255284224,1310720,6256594944,666,2302,66650112,72220672,648,516,1281,11,21,4813,3469,0,0,0,0
duplicates_100.0,1,22,1,2.2531,3,3.29,2.87,6.16,10.95,0.24,6256037888,1310720,6257348608,670,2302,66871296,72220672,651,516,1289,11,23,4813,3809,0,0,0,0
duplicates_100.0,1,23,1,2.3594,3,3.56,2.92,6.48,11.46,0.24,6262562816,1310720,6263873536,678,2302,67321856,72220672,657,516,1302,13,30,4985,4555,0,0,0,0
duplicates_100.0,1,24,1,2.466,3,3.74,2.98,6.720000000000001,12.05,0.25,6262755328,1310720,6264066048,705,2302,76824576,72220672,692,516,1346,13,31,4985,4752,0,0,0,0
duplicates_100.0,1,25,1,2.5709,3,3.9,3.02,6.92,12.63,0.28,6262329344,1310720,6263640064,733,2341,78266368,72548352,703,540,1410,13,32,4985,4969,0,0,0,0
duplicates_100.0,1,26,1,2.6753,3,4.03,3.12,7.15,13.16,0.32,6263148544,1310720,6264459264,815,2341,82853888,72548352,733,540,1523,13,32,4985,4969,0,0,0,0
duplicates_100.0,1,27,1,2.7817,3,4.25,3.25,7.5,13.62,0.34,6260948992,1310720,6262259712,865,2341,85278720,72548352,752,540,1595,13,32,4985,4969,0,0,0,0
duplicates_100.0,1,28,1,2.8904,3,4.5,3.33,7.83,14.12,0.34,6272077824,1310720,6273388544,875,2341,85934080,72548352,756,540,1608,14,37,5107,5708,0,0,0,0
duplicates_100.0,1,29,1,2.9979,3,4.73,3.37,8.100000000000001,14.67,0.36,6273159168,1310720,6274469888,921,2341,87523328,72548352,777,540,1659,14,37,5107,5708,0,0,0,0
duplicates_100.0,1,30,1,3.103,3,4.94,3.42,8.36,15.22,0.38,6280425472,1310720,6281736192,972,2341,91709440,72548352,802,540,1706,14,38,5107,5925,0,0,0,0
duplicates_100.0,1,31,1,3.2106,3,5.25,3.46,8.71,15.69,0.39,6288732160,1310720,6290042880,995,2341,97079296,72548352,825,540,1742,14,38,5107,5925,0,0,0,0
duplicates_100.0,1,32,1,3.32,3,5.41,3.52,8.93,16.29,0.4,6289461248,1310720,6290771968,1184,2341,104448000,72548352,875,540,1898,23,52,6349,8545,0,0,0,0
duplicates_100.0,1,33,1,3.4264,3,5.6,3.56,9.16,16.88,0.41,6291841024,1310720,6293151744,1318,2341,106422272,72548352,901,540,1989,27,59,7383,10395,0,0,0,0
duplicates_100.0,1,34,1,3.5308,3,5.83,3.59,9.42,17.43,0.42,6294847488,1310720,6296158208,1374,2341,107864064,72548352,926,540,2027,29,65,8335,11191,0,0,0,0
duplicates_100.0,1,35,1,3.6358,3,5.95,3.63,9.58,18.07,0.43,6283677696,1310720,6284988416,1502,2648,109912064,74235904,945,577,2134,33,66,8627,11285,0,0,0,0
duplicates_100.0,1,36,1,3.7398,3,6.17,3.71,9.879999999999999,18.55,0.44,6286737408,1310720,6288048128,1614,2648,111804416,74235904,968,577,2244,41,74,9648,12749,0,0,0,0
duplicates_100.0,1,37,1,3.8473,3,6.36,3.85,10.21,19.08,0.45,6279319552,1310720,6280630272,1682,2648,115073024,74235904,1009,577,2297,41,74,9648,12749,0,0,0,0
duplicates_100.0,1,38,1,3.9559,3,6.57,3.95,10.52,19.59,0.45,6281699328,1310720,6283010048,1750,2648,116531200,74235904,1024,577,2346,41,74,9648,12749,0,0,0,0
duplicates_100.0,1,39,1,4.0618,3,6.79,4.07,10.86,20.06,0.46,6285922304,1310720,6287233024,1802,2648,123764736,74235904,1053,577,2402,41,74,9648,12749,0,0,0,0
duplicates_100.0,1,40,1,4.1667,3,6.96,4.2,11.16,20.58,0.46,6287499264,1310720,6288809984,1814,2648,130981888,74235904,1076,577,2426,44,80,10332,13635,0,0,0,0
duplicates_100.0,1,41,1,4.2721,3,7.06,4.25,11.309999999999999,21.24,0.47,6284988416,1310720,6286299136,1858,2648,131506176,74235904,1085,577,2463,45,80,10398,13635,0,0,0,0
duplicates_100.0,1,42,1,4.3769,3,7.2,4.31,11.51,21.85,0.48,6308958208,1310720,6310268928,1924,2648,134447104,74235904,1109,577,2529,57,99,13186,25860,0,0,0,0
duplicates_100.0,1,43,1,4.4813,3,7.34,4.32,11.66,22.52,0.48,6319431680,1310720,6320742400,1952,2648,135692288,74235904,1118,577,2557,63,101,14693,26119,0,0,0,0
duplicates_100.0,1,44,1,4.5852,3,7.51,4.35,11.86,23.13,0.48,6328729600,1310720,6330040320,1998,2648,136216576,74235904,1127,577,2605,67,106,17319,26792,0,0,0,0
duplicates_100.0,1,45,1,4.6929,3,7.74,4.4,12.14,23.69,0.49,6327595008,1310720,6328905728,2078,2648,137248768,74235904,1142,577,2682,74,114,19428,28284,0,0,0,0
duplicates_100.0,1,46,1,4.7978,3,7.98,4.55,12.530000000000001,24.1,0.5,6327902208,1310720,6329212928,2214,2648,138436608,74235904,1166,577,2795,75,116,19556,28472,0,0,0,0
duplicates_100.0,1,47,1,4.9027,3,8.18,4.65,12.83,24.6,0.5,6329061376,1310720,6330372096,2268,2648,141746176,74235904,1186,577,2852,75,116,19556,28472,0,0,0,0
duplicates_100.0,1,48,1,5.0095,3,8.39,4.73,13.120000000000001,25.12,0.51,6328696832,1310720,6330007552,2346,2648,143114240,74235904,1210,577,2912,75,116,19556,28472,0,0,0,0
duplicates_100.0,1,49,1,5.1151,3,8.65,4.75,13.4,25.68,0.51,6328823808,1310720,6330134528,2352,2650,143228928,74244096,1215,577,2918,79,122,20307,29358,0,0,0,0
duplicates_100.0,1,50,1,5.2226,3,8.98,4.82,13.8,26.11,0.51,6328823808,1310720,6330134528,2352,2650,143228928,74244096,1215,577,2918,79,122,20307,29358,0,0,0,0
duplicates_100.0,1,51,1,5.3302,3,9.48,4.9,14.38,26.36,0.51,6329597952,1310720,6330908672,2354,2650,143237120,74244096,1216,577,2922,79,123,20307,30222,0,0,0,0
duplicates_100.0,1,52,1,5.4381,3,9.99,5.05,15.04,26.54,0.51,6335700992,1310720,6337011712,2354,2650,143237120,74244096,1216,577,2922,79,125,20307,31283,0,0,0,0
duplicates_100.0,1,53,1,5.5454,3,10.54,5.11,15.649999999999999,26.76,0.51,6324137984,1310720,6325448704,2354,2650,143237120,74244096,1216,577,2922,79,125,20307,31283,0,0,0,0
duplicates_100.0,1,54,1,5.653,3,11.06,5.23,16.29,26.94,0.51,6322966528,1310720,6324277248,2354,2650,143237120,74244096,1216,577,2922,79,126,20307,32147,0,0,0,0
duplicates_100.0,1,55,1,5.7607,3,11.5,5.28,16.78,27.28,0.52,6323503104,1310720,6324813824,2360,2650,143384576,74244096,1232,577,2946,80,130,20401,34651,0,0,0,0
duplicates_100.0,1,56,1,5.8668,3,11.66,5.33,16.990000000000002,27.88,0.54,6325981184,1310720,6327291904,2410,2650,145391616,74244096,1256,577,3006,97,141,24932,39040,0,0,0,0
duplicates_100.0,1,57,1,5.9722,3,11.92,5.35,17.27,28.4,0.55,6325559296,1310720,6326870016,2442,2650,146284544,74244096,1268,577,3048,97,142,24932,39904,0,0,0,0
duplicates_100.0,1,58,1,6.0771,3,12.05,5.47,17.52,28.98,0.56,6203711488,1310720,6205022208,2450,2652,146726912,74252288,1272,580,3066,97,142,24932,39904,0,0,0,0
duplicates_100.0,1,59,1,6.1824,3,12.15,5.56,17.71,29.55,0.58,6200840192,1310720,6202150912,2450,2755,146726912,75046912,1272,655,3154,122,143,31394,39974,0,0,0,0
duplicates_100.0,1,60,1,6.2903,3,12.52,5.95,18.47,29.62,0.59,6207340544,1310720,6208651264,2450,2848,146726912,75800576,1272,739,3266,99,122,25104,33968,0,0,0,0
duplicates_100.0,1,61,1,6.4016,3,12.76,6.21,18.97,29.98,0.59,6217707520,1310720,6219018240,2450,2848,146726912,75800576,1272,739,3266,99,122,25104,33968,0,0,0,0
duplicates_100.0,1,62,1,6.5134,3,12.98,6.47,19.45,30.34,0.59,6246801408,1310720,6248112128,2450,2848,146726912,75800576,1272,739,3276,99,122,25104,33968,0,0,0,0
duplicates_100.0,1,63,1,6.6238,3,13.14,6.72,19.86,30.75,0.6,6206799872,1310720,6208110592,2450,2872,146726912,76079104,1272,807,3296,99,122,25104,33968,0,0,0,0
duplicates_100.0,1,64,1,6.7342,3,13.2,6.93,20.13,31.33,0.6,6206435328,1310720,6207746048,2450,2872,146726912,76079104,1272,807,3296,99,122,25104,33968,0,0,0,0
duplicates_100.0,1,65,1,6.84,3,13.38,7.02,20.4,31.88,0.6,6206779392,1310720,6208090112,2450,2872,146726912,76079104,1272,807,3296,99,122,25104,33968,0,0,0,0
duplicates_100.0,1,66,1,6.9455,3,13.45,7.1,20.549999999999997,32.55,0.6,6207107072,1310720,6208417792,2450,2872,146726912,76079104,1272,807,3296,99,122,25104,33968,0,0,0,0
duplicates_100.0,1,67,1,7.0546,3,13.5,7.22,20.72,33.24,0.6,6202990592,1310720,6204301312,2450,2872,146726912,76079104,1272,807,3296,99,122,25104,33968,0,0,0,0
duplicates_100.0,1,68,1,7.1604,3,13.6,7.32,20.92,33.87,0.6,6204313600,1310720,6205624320,2450,2872,146726912,76079104,1272,807,3296,99,122,25104,33968,0,0,0,0
duplicates_100.0,1,69,1,7.2655,3,13.8,7.43,21.23,34.38,0.6,6199197696,1310720,6200508416,2450,2872,146726912,76079104,1272,807,3296,111,138,27314,37341,0,0,0,0
