name,run,index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
empty_0.0,1,1,1,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
empty_0.0,1,2,1,0.1091,3,0.08,0.07,0.15000000000000002,0.69,0.0,6204264448,1310720,6205575168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
empty_0.0,1,3,1,0.2145,3,0.25,0.15,0.4,1.25,0.0,6203891712,1310720,6205202432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
empty_0.0,1,4,1,0.3203,3,0.37,0.27,0.64,1.83,0.0,6205587456,1310720,6206898176,0,50,0,13107200,0,75,70,0,0,0,0,0,0,0,0
empty_0.0,1,5,1,0.4263,3,0.53,0.46,0.99,2.27,0.01,6202380288,1310720,6203691008,0,757,0,35676160,0,183,256,36,35,14670,24797,0,0,0,0
empty_0.0,1,6,1,0.5353,3,0.6,0.63,1.23,2.86,0.01,6206394368,1310720,6207705088,0,837,0,54108160,0,243,355,39,38,14927,25158,0,0,0,0
empty_0.0,1,7,1,0.6407,3,0.63,0.78,1.4100000000000001,3.47,0.02,6187524096,1310720,6188834816,0,1928,0,72597504,0,357,546,39,38,14927,25158,0,0,0,0
empty_0.0,1,8,1,0.7457,3,0.97,1.04,2.01,3.63,0.05,6195519488,1310720,6196830208,0,2074,0,73728000,0,439,664,39,38,14927,25158,0,0,0,0
empty_0.0,1,9,1,0.8569,3,1.29,1.29,2.58,3.89,0.06,6206763008,1310720,6208073728,0,2266,0,74924032,0,539,746,39,38,14927,25158,0,0,0,0
empty_0.0,1,10,1,0.9642,3,1.5,1.49,2.99,4.3,0.06,6209048576,1310720,6210359296,0,2266,0,74924032,0,539,746,39,38,14927,25158,0,0,0,0
empty_0.0,1,11,1,1.0739,3,1.63,1.59,3.2199999999999998,4.92,0.06,6235299840,1310720,6236610560,0,2266,0,74924032,0,539,746,39,38,14927,25158,0,0,0,0
empty_0.0,1,12,1,1.1823,3,1.82,1.69,3.51,5.45,0.06,6250807296,1310720,6252118016,0,2266,0,74924032,0,539,746,39,38,14927,25158,0,0,0,0
empty_0.0,1,13,1,1.2891,3,1.97,1.82,3.79,5.98,0.06,6234697728,1310720,6236008448,0,2288,0,75096064,0,582,782,39,43,14927,25696,0,0,0,0
empty_0.0,1,14,1,1.3948,3,2.09,1.86,3.95,6.61,0.07,6235947008,1310720,6237257728,4,2314,172032,75325440,2,598,810,39,43,14927,25696,0,0,0,0
empty_0.0,1,15,1,1.504,3,2.16,2.19,4.35,7.02,0.09,6250704896,1310720,6252015616,262,2324,19873792,75407360,485,609,924,39,43,14927,25696,0,0,0,0
empty_0.0,1,16,1,1.614,3,2.31,2.37,4.68,7.56,0.1,6277058560,1310720,6278369280,315,2324,22978560,75407360,585,609,942,39,45,14927,26036,0,0,0,0
empty_0.0,1,17,1,1.7192,3,2.48,2.4,4.88,8.17,0.11,6278479872,1310720,6279790592,331,2324,23773184,75407360,601,609,973,39,47,14927,26358,0,0,0,0
empty_0.0,1,18,1,1.8247,3,2.58,2.48,5.0600000000000005,8.78,0.14,6281588736,1310720,6282899456,363,2324,42819584,75407360,672,609,1026,41,48,15155,26472,0,0,0,0
empty_0.0,1,19,1,1.933,3,2.67,2.54,5.21,9.44,0.17,6285365248,1310720,6286675968,447,2324,55812096,75407360,717,609,1122,41,50,15155,26580,0,0,0,0
empty_0.0,1,20,1,2.0391,3,2.87,2.6,5.470000000000001,9.99,0.2,6288957440,1310720,6290268160,515,2324,58515456,75407360,737,609,1202,41,51,15155,26670,0,0,0,0
empty_0.0,1,21,1,2.1493,3,3.1,2.72,5.82,10.46,0.22,6291316736,1310720,6292627456,585,2324,60432384,75407360,761,609,1276,42,52,15242,26789,0,0,0,0
empty_0.0,1,22,1,2.255,3,3.3,2.84,6.14,10.93,0.24,6293479424,1310720,6294790144,641,2324,65576960,75407360,803,609,1349,42,52,15242,26789,0,0,0,0
empty_0.0,1,23,1,2.3637,3,3.63,2.89,6.52,11.37,0.25,6297829376,1310720,6299140096,659,2336,66535424,75481088,817,609,1385,43,53,15420,26930,0,0,0,0
empty_0.0,1,24,1,2.4726,3,3.81,2.92,6.73,12.01,0.25,6297939968,1310720,6299250688,665,2336,66838528,75481088,823,609,1397,44,55,15542,27172,0,0,0,0
empty_0.0,1,25,1,2.5792,3,3.96,2.94,6.9,12.66,0.26,6299295744,1310720,6300606464,671,2336,67174400,75481088,829,609,1408,44,55,15542,27172,0,0,0,0
empty_0.0,1,26,1,2.6877,3,4.13,2.98,7.109999999999999,13.28,0.27,6302851072,1310720,6304161792,694,2336,76423168,75481088,869,609,1450,44,55,15542,27172,0,0,0,0
empty_0.0,1,27,1,2.7934,3,4.33,3.03,7.359999999999999,13.84,0.29,6306213888,1310720,6307524608,716,2336,77545472,75481088,883,609,1484,44,61,15542,27804,0,0,0,0
empty_0.0,1,28,1,2.9021,3,4.57,3.08,7.65,14.38,0.32,6322749440,1310720,6324060160,762,2336,80183296,75481088,908,609,1551,47,65,15800,28343,0,0,0,0
empty_0.0,1,29,1,3.0107,3,4.75,3.12,7.87,14.96,0.36,6324187136,1310720,6325497856,814,2336,82952192,75481088,932,609,1627,47,65,15800,28343,0,0,0,0
empty_0.0,1,30,1,3.1163,3,4.87,3.17,8.04,15.59,0.39,6324146176,1310720,6325456896,870,2336,85901312,75481088,951,609,1699,47,66,15800,28560,0,0,0,0
empty_0.0,1,31,1,3.2223,3,5.09,3.19,8.28,16.16,0.4,6325551104,1310720,6326861824,880,2336,86073344,75481088,968,609,1721,47,66,15800,28560,0,0,0,0
empty_0.0,1,32,1,3.3295,3,5.35,3.28,8.629999999999999,16.61,0.41,6329946112,1310720,6331256832,914,2336,87400448,75481088,997,609,1768,47,67,15800,28777,0,0,0,0
empty_0.0,1,33,1,3.4407,3,5.66,3.42,9.08,16.99,0.44,6332424192,1310720,6333734912,965,2336,91561984,75481088,1036,609,1822,47,67,15800,28777,0,0,0,0
empty_0.0,1,34,1,3.5507,3,5.87,3.51,9.379999999999999,17.53,0.45,6335324160,1310720,6336634880,984,2336,95158272,75481088,1059,609,1854,47,69,15800,29124,0,0,0,0
empty_0.0,1,35,1,3.657,3,6.03,3.58,9.61,18.11,0.46,6337527808,1310720,6338838528,1111,2336,101072896,75481088,1094,609,1980,47,70,15800,29274,0,0,0,0
empty_0.0,1,36,1,3.7625,3,6.18,3.61,9.79,18.73,0.48,6341074944,1310720,6342385664,1271,2336,105496576,75481088,1148,609,2109,47,71,15800,29479,0,0,0,0
empty_0.0,1,37,1,3.8684,3,6.42,3.66,10.08,19.25,0.48,6342823936,1310720,6344134656,1315,2336,106496000,75481088,1162,609,2151,60,91,18146,33390,0,0,0,0
empty_0.0,1,38,1,3.974,3,6.65,3.69,10.34,19.8,0.49,6342410240,1310720,6343720960,1369,2336,107831296,75481088,1207,609,2192,60,92,18146,33587,0,0,0,0
empty_0.0,1,39,1,4.0824,3,6.83,3.73,10.56,20.42,0.5,6346850304,1310720,6348161024,1459,2336,109453312,75481088,1229,609,2279,62,95,18306,33933,0,0,0,0
empty_0.0,1,40,1,4.1908,3,6.99,3.75,10.74,21.06,0.51,6349729792,1310720,6351040512,1561,2336,111337472,75481088,1260,609,2380,63,96,18400,34027,0,0,0,0
empty_0.0,1,41,1,4.2999,3,7.16,3.83,10.99,21.65,0.52,6357020672,1310720,6358331392,1671,2336,114851840,75481088,1317,609,2484,69,102,19199,35291,0,0,0,0
empty_0.0,1,42,1,4.4058,3,7.44,3.94,11.38,22.05,0.53,6349217792,1310720,6350528512,1677,2336,115040256,75481088,1324,609,2497,70,103,19327,35397,0,0,0,0
empty_0.0,1,43,1,4.515,3,7.76,4.06,11.82,22.45,0.54,6349549568,1310720,6350860288,1754,2336,117112832,75481088,1354,609,2564,70,103,19327,35397,0,0,0,0
empty_0.0,1,44,1,4.6231,3,8.07,4.19,12.260000000000002,22.84,0.54,6355111936,1310720,6356422656,1797,2336,123731968,75481088,1391,609,2614,70,103,19327,35397,0,0,0,0
empty_0.0,1,45,1,4.7317,3,8.36,4.33,12.69,23.25,0.55,6359900160,1310720,6361210880,1809,2336,130949120,75481088,1420,609,2641,70,103,19327,35397,0,0,0,0
empty_0.0,1,46,1,4.8402,3,8.83,4.53,13.36,23.41,0.55,6363721728,1310720,6365032448,1809,2336,130949120,75481088,1420,609,2641,84,130,22589,49398,0,0,0,0
empty_0.0,1,47,1,4.9489,3,9.1,4.59,13.69,23.9,0.57,6365855744,1310720,6367166464,1895,2336,132661248,75481088,1456,609,2735,91,134,24162,50726,0,0,0,0
empty_0.0,1,48,1,5.0557,3,9.35,4.62,13.969999999999999,24.46,0.57,6370418688,1310720,6371729408,1921,2336,134668288,75481088,1473,609,2770,91,135,24162,51590,0,0,0,0
empty_0.0,1,49,1,5.1608,3,9.6,4.65,14.25,25.0,0.57,6375682048,1310720,6376992768,1947,2336,135659520,75481088,1488,609,2800,98,140,28056,52196,0,0,0,0
empty_0.0,1,50,1,5.2667,3,9.94,4.7,14.64,25.44,0.58,6375497728,1310720,6376808448,1987,2336,136052736,75481088,1500,609,2842,101,145,28262,54377,0,0,0,0
empty_0.0,1,51,1,5.3732,3,10.35,4.77,15.12,25.77,0.59,6376026112,1310720,6377336832,2049,2336,136953856,75481088,1517,609,2912,105,150,28921,54927,0,0,0,0
empty_0.0,1,52,1,5.4798,3,10.64,4.86,15.5,26.2,0.59,6378151936,1310720,6379462656,2185,2336,138108928,75481088,1541,609,3028,105,150,28921,54927,0,0,0,0
