name,run,index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
duplicates_50.0,1,1,1,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
duplicates_50.0,1,2,1,0.1095,3,0.11,0.25,0.36,0.47,0.0,6641741824,1702887424,8344629248,0,1395,0,22921216,0,115,220,60,53,6145,5122,0,0,0,0
duplicates_50.0,1,3,1,0.2185,3,0.22,0.51,0.73,0.92,0.0,6647562240,1702887424,8350449664,0,2383,0,39124992,0,197,438,61,55,6211,5374,0,0,0,0
duplicates_50.0,1,4,1,0.3264,3,0.29,0.7,0.99,1.49,0.0,6652055552,1702887424,8354942976,0,3306,0,55738368,0,284,652,63,57,6399,5562,0,0,0,0
duplicates_50.0,1,5,1,0.4324,3,0.4,0.89,1.29,2.0,0.0,6653370368,1702887424,8356257792,0,3786,0,63496192,0,332,766,63,57,6399,5562,0,0,0,0
duplicates_50.0,1,6,1,0.5398,3,0.54,1.12,1.6600000000000001,2.43,0.01,6649323520,1702887424,8352210944,0,4038,0,75874304,0,390,850,63,57,6399,5562,0,0,0,0
duplicates_50.0,1,7,1,0.6448,3,0.58,1.3,1.88,3.02,0.01,6646734848,1702887424,8349622272,0,4619,0,92291072,0,462,974,64,58,6485,5668,0,0,0,0
duplicates_50.0,1,8,1,0.7537,3,0.95,1.56,2.51,3.2,0.03,6657032192,1702887424,8359919616,0,4783,0,93569024,0,561,1118,66,59,6711,5791,0,0,0,0
duplicates_50.0,1,9,1,0.8603,3,1.0,1.63,2.63,3.89,0.05,6661025792,1702887424,8363913216,0,4839,0,94011392,0,595,1161,66,59,6711,5791,0,0,0,0
duplicates_50.0,1,10,1,0.9647,3,1.11,1.73,2.84,4.46,0.07,6666264576,1702887424,8369152000,0,4907,0,94486528,0,639,1214,66,61,6711,6157,0,0,0,0
duplicates_50.0,1,11,1,1.0703,3,1.22,1.81,3.0300000000000002,5.09,0.07,6678839296,1702887424,8381726720,0,4907,0,94486528,0,639,1214,91,85,16439,20425,0,0,0,0
duplicates_50.0,1,12,1,1.1749,3,1.4,1.92,3.32,5.62,0.07,6706188288,1702887424,8409075712,0,4907,0,94486528,0,639,1214,95,89,16962,21397,0,0,0,0
duplicates_50.0,1,13,1,1.2801,3,1.52,2.04,3.56,6.18,0.07,6686748672,1702887424,8389636096,0,4929,0,94658560,0,661,1240,100,98,19444,22375,0,0,0,0
duplicates_50.0,1,14,1,1.3855,3,1.59,2.16,3.75,6.79,0.08,6685200384,1702887424,8388087808,83,4945,4120576,94806016,97,672,1276,100,98,19444,22375,0,0,0,0
duplicates_50.0,1,15,1,1.4925,3,1.69,2.36,4.05,7.3,0.1,6695940096,1702887424,8398827520,177,4945,11583488,94806016,167,672,1341,101,99,19590,22489,0,0,0,0
duplicates_50.0,1,16,1,1.6009,3,1.8,2.68,4.48,7.69,0.11,6694285312,1702887424,8397172736,412,4945,31358976,94806016,439,672,1431,101,101,19590,22829,0,0,0,0
duplicates_50.0,1,17,1,1.7088,3,1.98,3.05,5.029999999999999,7.91,0.14,6685368320,1702887424,8388255744,642,4945,51462144,94806016,618,672,1564,102,102,19736,22943,0,0,0,0
duplicates_50.0,1,18,1,1.8152,3,2.17,3.31,5.48,8.27,0.15,6695927808,1702887424,8398815232,678,4953,57982976,94879744,695,679,1586,102,102,19736,22943,0,0,0,0
duplicates_50.0,1,19,1,1.9222,3,2.21,3.33,5.54,9.05,0.15,6696230912,1702887424,8399118336,678,4953,57982976,94879744,695,679,1586,104,103,19931,23037,0,0,0,0
duplicates_50.0,1,20,1,2.0274,3,2.24,3.35,5.59,9.84,0.15,6696423424,1702887424,8399310848,678,4953,57982976,94879744,695,679,1586,104,103,19931,23037,0,0,0,0
