name,run,index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
join_duplicates_10_0,1,1,1,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
join_duplicates_10_0,1,2,1,0.1081,3,0.13,0.07,0.2,0.63,0.0,6738415616,1645215744,8383631360,0,0,0,0,0,0,0,0,11,0,2450,0,0,0,0
join_duplicates_10_0,1,3,1,0.2139,3,0.25,0.18,0.43,1.22,0.0,6742286336,1645215744,8387502080,0,0,0,0,0,0,0,14,26,2605,4696,0,0,0,0
join_duplicates_10_0,1,4,1,0.3192,3,0.31,0.3,0.61,1.86,0.0,6742286336,1645215744,8387502080,0,0,0,0,0,0,0,16,29,2757,5094,0,0,0,0
join_duplicates_10_0,1,5,1,0.4236,3,0.33,0.42,0.75,2.55,0.0,6742347776,1645215744,8387563520,0,22,0,5767168,0,65,29,18,31,2965,5302,0,0,0,0
join_duplicates_10_0,1,6,1,0.5277,3,0.38,0.6,0.98,3.1,0.0,6703833088,1645215744,8349048832,0,940,0,37076992,0,182,184,20,34,3181,5638,0,0,0,0
join_duplicates_10_0,1,7,1,0.6328,3,0.43,0.77,1.2,3.68,0.0,6699282432,1645215744,8344498176,0,2031,0,54984704,0,274,394,20,34,3181,5638,0,0,0,0
join_duplicates_10_0,1,8,1,0.7371,3,0.44,0.94,1.38,4.3,0.0,6701428736,1645215744,8346644480,0,3122,0,72867840,0,354,604,20,34,3181,5638,0,0,0,0
join_duplicates_10_0,1,9,1,0.8439,3,0.51,1.14,1.65,4.85,0.0,6682857472,1645215744,8328073216,0,4239,0,91201536,0,447,818,20,34,3181,5638,0,0,0,0
join_duplicates_10_0,1,10,1,0.9511,3,0.62,1.38,2.0,5.3,0.0,6683951104,1645215744,8329166848,0,5248,0,107167744,0,539,1008,20,34,3181,5638,0,0,0,0
