name,run,index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
join_duplicates_10_75.0,1,1,1,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
join_duplicates_10_75.0,1,2,1,0.1078,3,0.11,0.21,0.32,0.51,0.0,6482604032,1583874048,8066478080,0,179,0,2842624,0,24,46,21,42,3532,6865,0,0,0,0
join_duplicates_10_75.0,1,3,1,0.2127,3,0.17,0.28,0.45000000000000007,1.19,0.0,6486712320,1583874048,8070586368,0,179,0,2842624,0,24,46,21,44,3532,7117,0,0,0,0
join_duplicates_10_75.0,1,4,1,0.318,3,0.2,0.39,0.5900000000000001,1.89,0.0,6486712320,1583874048,8070586368,0,183,0,3891200,0,51,62,27,49,4087,7718,0,0,0,0
join_duplicates_10_75.0,1,5,1,0.4225,3,0.2,0.53,0.73,2.56,0.0,6485577728,1583874048,8069451776,0,866,0,29908992,0,132,193,28,50,4181,7812,0,0,0,0
join_duplicates_10_75.0,1,6,1,0.5269,3,0.2,0.67,0.8700000000000001,3.22,0.0,6486052864,1583874048,8069926912,0,1883,0,46620672,0,220,403,28,50,4181,7812,0,0,0,0
join_duplicates_10_75.0,1,7,1,0.6312,3,0.21,0.83,1.04,3.85,0.0,6485757952,1583874048,8069632000,0,2933,0,63856640,0,296,611,28,50,4181,7812,0,0,0,0
join_duplicates_10_75.0,1,8,1,0.7354,3,0.28,1.04,1.32,4.36,0.0,6481240064,1583874048,8065114112,0,3980,0,80953344,0,374,789,28,50,4181,7812,0,0,0,0
join_duplicates_10_75.0,1,9,1,0.8407,3,0.37,1.28,1.65,4.83,0.01,6481084416,1583874048,8064958464,0,4426,0,99074048,0,440,922,28,50,4181,7812,0,0,0,0
join_duplicates_10_75.0,1,10,1,0.9492,3,0.64,1.48,2.12,5.16,0.03,6488186880,1583874048,8072060928,0,4781,0,103866368,0,538,1073,28,50,4181,7812,0,0,0,0
join_duplicates_10_75.0,1,11,1,1.0605,3,0.87,1.64,2.51,5.63,0.03,6496264192,1583874048,8080138240,0,4803,0,104038400,0,549,1092,37,62,5276,11934,0,0,0,0
join_duplicates_10_75.0,1,12,1,1.1697,3,0.96,1.77,2.73,6.22,0.06,6505738240,1583874048,8089612288,0,4909,0,104841216,0,603,1168,53,80,9109,29049,0,0,0,0
join_duplicates_10_75.0,1,13,1,1.2747,3,1.1,1.9,3.0,6.77,0.06,6510243840,1583874048,8094117888,0,4909,0,104841216,0,603,1168,60,84,12859,29533,0,0,0,0
join_duplicates_10_75.0,1,14,1,1.3817,3,1.2,1.97,3.17,7.43,0.06,6529011712,1583874048,8112885760,0,4929,0,105005056,0,615,1183,62,87,14212,29875,0,0,0,0
join_duplicates_10_75.0,1,15,1,1.4898,3,1.36,2.08,3.4400000000000004,7.98,0.07,6531289088,1583874048,8115163136,0,4959,0,105439232,0,635,1214,65,90,15959,30572,0,0,0,0
join_duplicates_10_75.0,1,16,1,1.5985,3,1.51,2.19,3.7,8.56,0.07,6523723776,1583874048,8107597824,0,4981,0,105611264,0,650,1237,65,95,15959,31110,0,0,0,0
join_duplicates_10_75.0,1,17,1,1.7049,3,1.62,2.4,4.02,9.03,0.09,6518792192,1583874048,8102666240,129,4997,6578176,105758720,102,661,1311,81,111,26027,36747,0,0,0,0
join_duplicates_10_75.0,1,18,1,1.8102,3,1.82,2.58,4.4,9.45,0.1,6524719104,1583874048,8108593152,179,4997,11747328,105758720,148,661,1340,82,114,26113,37037,0,0,0,0
join_duplicates_10_75.0,1,19,1,1.9153,3,2.06,2.95,5.01,9.64,0.11,6531723264,1583874048,8115597312,458,4997,34029568,105758720,442,661,1476,82,114,26113,37037,0,0,0,0
join_duplicates_10_75.0,1,20,1,2.0247,3,2.39,3.31,5.7,9.76,0.12,6530043904,1583874048,8113917952,642,4997,51462144,105758720,597,661,1583,100,134,32330,44351,0,0,0,0
join_duplicates_10_75.0,1,21,1,2.1345,3,2.7,3.63,6.33,9.95,0.13,6526029824,1583874048,8109903872,678,5005,57982976,105832448,671,668,1607,101,134,32416,44351,0,0,0,0
join_duplicates_10_75.0,1,22,1,2.2436,3,2.78,3.67,6.449999999999999,10.68,0.13,6525267968,1583874048,8109142016,678,5005,57982976,105832448,671,668,1607,101,134,32416,44351,0,0,0,0
join_duplicates_10_75.0,1,23,1,2.3489,3,2.79,3.68,6.470000000000001,11.5,0.13,6525267968,1583874048,8109142016,678,5005,57982976,105832448,671,668,1607,101,134,32416,44351,0,0,0,0
join_duplicates_10_75.0,1,24,1,2.4541,3,2.81,3.69,6.5,12.3,0.13,6525267968,1583874048,8109142016,678,5005,57982976,105832448,671,668,1607,102,135,32562,44465,0,0,0,0
join_duplicates_10_75.0,1,25,1,2.5591,3,2.85,3.71,6.5600000000000005,13.08,0.13,6525267968,1583874048,8109142016,678,5005,57982976,105832448,671,668,1607,102,137,32562,44805,0,0,0,0
join_duplicates_10_75.0,1,26,1,2.6687,3,2.88,3.75,6.63,13.88,0.13,6525267968,1583874048,8109142016,678,5005,57982976,105832448,671,668,1607,102,137,32562,44805,0,0,0,0
join_duplicates_10_75.0,1,27,1,2.7739,3,2.88,3.75,6.63,14.71,0.13,6525267968,1583874048,8109142016,678,5005,57982976,105832448,671,668,1607,102,137,32562,44805,0,0,0,0
join_duplicates_10_75.0,1,28,1,2.879,3,3.03,3.81,6.84,15.33,0.13,6533623808,1583874048,8117497856,678,5005,57982976,105832448,671,668,1607,105,146,32820,45779,0,0,0,0
join_duplicates_10_75.0,1,29,1,2.9849,3,3.06,3.82,6.88,16.12,0.13,6533623808,1583874048,8117497856,678,5005,57982976,105832448,671,668,1607,105,147,32820,45976,0,0,0,0
join_duplicates_10_75.0,1,30,1,3.0906,3,3.1,3.86,6.96,16.88,0.13,6533623808,1583874048,8117497856,678,5005,57982976,105832448,671,668,1607,105,148,32820,46193,0,0,0,0
join_duplicates_10_75.0,1,31,1,3.1956,3,3.16,3.91,7.07,17.61,0.13,6533623808,1583874048,8117497856,678,5005,57982976,105832448,671,668,1607,105,148,32820,46193,0,0,0,0
join_duplicates_10_75.0,1,32,1,3.3011,3,3.26,3.99,7.25,18.24,0.13,6534914048,1583874048,8118788096,678,5005,57982976,105832448,671,668,1607,105,148,32820,46193,0,0,0,0
join_duplicates_10_75.0,1,33,1,3.4063,3,3.32,4.06,7.379999999999999,18.93,0.13,6534914048,1583874048,8118788096,678,5005,57982976,105832448,671,668,1607,105,149,32820,46410,0,0,0,0
