id,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
1,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8,V_1-8
2,V_1-2,V_2-2,V_3-2,V_4-2,V_5-2,V_6-2,V_7-2,V_8-2,V_9-2,V_10-2
3,V_1-7,V_1-7,V_1-7,V_1-7,V_1-7,V_1-7,V_1-7,V_1-7,V_1-7,V_1-7
4,V_1-9,V_1-9,V_1-9,V_1-9,V_1-9,V_1-9,V_1-9,V_1-9,V_1-9,V_1-9
5,V_1-5,V_2-5,V_3-5,V_4-5,V_5-5,V_6-5,V_7-5,V_8-5,V_9-5,V_10-5
6,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2,V_1-2
7,V_1-7,V_2-7,V_3-7,V_4-7,V_5-7,V_6-7,V_7-7,V_8-7,V_9-7,V_10-7
8,V_1-8,V_2-8,V_3-8,V_4-8,V_5-8,V_6-8,V_7-8,V_8-8,V_9-8,V_10-8
9,V_1-9,V_2-9,V_3-9,V_4-9,V_5-9,V_6-9,V_7-9,V_8-9,V_9-9,V_10-9
10,V_1-10,V_2-10,V_3-10,V_4-10,V_5-10,V_6-10,V_7-10,V_8-10,V_9-10,V_10-10
11,V_1-11,V_2-11,V_3-11,V_4-11,V_5-11,V_6-11,V_7-11,V_8-11,V_9-11,V_10-11
12,V_1-12,V_2-12,V_3-12,V_4-12,V_5-12,V_6-12,V_7-12,V_8-12,V_9-12,V_10-12
13,V_1-14,V_1-14,V_1-14,V_1-14,V_1-14,V_1-14,V_1-14,V_1-14,V_1-14,V_1-14
14,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16,V_1-16
15,V_1-20,V_1-20,V_1-20,V_1-20,V_1-20,V_1-20,V_1-20,V_1-20,V_1-20,V_1-20
16,V_1-5,V_1-5,V_1-5,V_1-5,V_1-5,V_1-5,V_1-5,V_1-5,V_1-5,V_1-5
17,V_1-17,V_2-17,V_3-17,V_4-17,V_5-17,V_6-17,V_7-17,V_8-17,V_9-17,V_10-17
18,V_1-13,V_1-13,V_1-13,V_1-13,V_1-13,V_1-13,V_1-13,V_1-13,V_1-13,V_1-13
19,V_1-19,V_2-19,V_3-19,V_4-19,V_5-19,V_6-19,V_7-19,V_8-19,V_9-19,V_10-19
20,V_1-6,V_1-6,V_1-6,V_1-6,V_1-6,V_1-6,V_1-6,V_1-6,V_1-6,V_1-6
