name,run,index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
join_multiple_3-5_5_50.0,1,1,1,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
join_multiple_3-5_5_50.0,1,2,1,0.1078,3,0.14,0.23,0.37,0.43,0.0,6700929024,1531183104,8232112128,0,854,0,13852672,0,68,212,0,2,0,208,0,0,0,0
join_multiple_3-5_5_50.0,1,3,1,0.2141,3,0.29,0.47,0.76,0.82,0.0,6696345600,1531183104,8227528704,0,1689,0,27566080,0,138,423,5,9,462,1090,0,0,0,0
join_multiple_3-5_5_50.0,1,4,1,0.3218,3,0.38,0.68,1.06,1.33,0.0,6697902080,1531183104,8229085184,0,3052,0,54337536,0,276,637,9,12,830,1392,0,0,0,0
join_multiple_3-5_5_50.0,1,5,1,0.4267,3,0.42,0.81,1.23,1.97,0.0,6699814912,1531183104,8230998016,0,3479,0,65282048,0,339,750,9,12,830,1392,0,0,0,0
join_multiple_3-5_5_50.0,1,6,1,0.5316,3,0.48,1.02,1.5,2.51,0.01,6686445568,1531183104,8217628672,0,4147,0,88211456,0,432,904,11,14,962,1692,0,0,0,0
join_multiple_3-5_5_50.0,1,7,1,0.6373,3,0.51,1.17,1.68,3.14,0.01,6687154176,1531183104,8218337280,0,4867,0,114753536,0,525,1077,12,15,1168,1890,0,0,0,0
join_multiple_3-5_5_50.0,1,8,1,0.7431,3,0.74,1.37,2.1100000000000003,3.48,0.04,6697930752,1531183104,8229113856,0,5169,0,118349824,0,642,1242,12,15,1168,1890,0,0,0,0
join_multiple_3-5_5_50.0,1,9,1,0.8545,3,0.91,1.5,2.41,4.06,0.04,6703607808,1531183104,8234790912,0,5171,0,118358016,0,646,1244,12,15,1168,1890,0,0,0,0
join_multiple_3-5_5_50.0,1,10,1,0.9593,3,0.97,1.57,2.54,4.7,0.07,6712467456,1531183104,8243650560,0,5283,0,119185408,0,701,1315,12,16,1168,2088,0,0,0,0
join_multiple_3-5_5_50.0,1,11,1,1.065,3,1.24,1.82,3.06,4.99,0.07,6726389760,1531183104,8257572864,0,5283,0,119185408,0,701,1315,48,57,12129,33679,0,0,0,0
join_multiple_3-5_5_50.0,1,12,1,1.1739,3,1.48,1.98,3.46,5.43,0.07,6745755648,1531183104,8276938752,0,5283,0,119185408,0,701,1315,57,63,13145,34901,0,0,0,0
join_multiple_3-5_5_50.0,1,13,1,1.2799,3,1.82,2.17,3.99,5.7,0.07,6759088128,1531183104,8290271232,0,5283,0,119185408,0,701,1315,69,76,20749,36406,0,0,0,0
join_multiple_3-5_5_50.0,1,14,1,1.389,3,1.98,2.31,4.29,6.23,0.07,6736031744,1531183104,8267214848,0,5305,0,119357440,0,740,1349,70,81,20837,36944,0,0,0,0
join_multiple_3-5_5_50.0,1,15,1,1.4974,3,2.08,2.43,4.51,6.83,0.08,6725292032,1531183104,8256475136,77,5321,3743744,119504896,121,759,1392,70,81,20837,36944,0,0,0,0
join_multiple_3-5_5_50.0,1,16,1,1.6119,3,2.19,2.67,4.859999999999999,7.34,0.1,6713376768,1531183104,8244559872,177,5321,11583488,119504896,217,759,1472,70,81,20837,36944,0,0,0,0
join_multiple_3-5_5_50.0,1,17,1,1.7209,3,2.37,2.94,5.3100000000000005,7.71,0.12,6726594560,1531183104,8257777664,383,5327,29147136,119529472,493,760,1559,70,82,20837,37030,0,0,0,0
join_multiple_3-5_5_50.0,1,18,1,1.8291,3,2.5,3.24,5.74,8.1,0.15,6732161024,1531183104,8263344128,642,5327,51462144,119529472,668,760,1692,70,82,20837,37030,0,0,0,0
join_multiple_3-5_5_50.0,1,19,1,1.9356,3,2.63,3.41,6.04,8.62,0.15,6740701184,1531183104,8271884288,678,5335,57982976,119603200,763,770,1716,70,82,20837,37030,0,0,0,0
join_multiple_3-5_5_50.0,1,20,1,2.0407,3,2.67,3.45,6.12,9.37,0.15,6740701184,1531183104,8271884288,678,5335,57982976,119603200,763,770,1716,70,82,20837,37030,0,0,0,0
join_multiple_3-5_5_50.0,1,21,1,2.1457,3,2.73,3.49,6.220000000000001,10.09,0.15,6740959232,1531183104,8272142336,678,5335,57982976,119603200,763,770,1716,70,86,20837,37478,0,0,0,0
join_multiple_3-5_5_50.0,1,22,1,2.2517,3,2.79,3.52,6.3100000000000005,10.83,0.15,6741151744,1531183104,8272334848,678,5335,57982976,119603200,763,770,1716,70,86,20837,37478,0,0,0,0
join_multiple_3-5_5_50.0,1,23,1,2.3566,3,2.86,3.57,6.43,11.52,0.15,6741151744,1531183104,8272334848,678,5335,57982976,119603200,763,770,1716,70,87,20837,37568,0,0,0,0
