name,run,index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
join_percentage_0,1,1,1,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
join_percentage_0,1,2,1,0.1067,3,0.19,0.16,0.35,0.48,0.0,6763896832,1529872384,8293769216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
join_percentage_0,1,3,1,0.2135,3,0.43,0.32,0.75,0.87,0.0,6757220352,1529872384,8287092736,0,0,0,0,0,0,0,4,10,657,2154,0,0,0,0
join_percentage_0,1,4,1,0.3221,3,0.59,0.45,1.04,1.42,0.0,6763929600,1529872384,8293801984,0,0,0,0,0,0,0,8,16,1927,3434,0,0,0,0
join_percentage_0,1,5,1,0.427,3,0.63,0.6,1.23,2.04,0.0,6763929600,1529872384,8293801984,0,0,0,0,0,0,0,9,18,1993,3686,0,0,0,0
join_percentage_0,1,6,1,0.5314,3,0.68,0.74,1.42,2.68,0.0,6763929600,1529872384,8293801984,0,52,0,13631488,0,77,65,10,19,2087,3780,0,0,0,0
join_percentage_0,1,7,1,0.6362,3,0.7,0.9,1.6,3.3,0.0,6739886080,1529872384,8269758464,0,552,0,37552128,0,161,199,11,21,2181,4022,0,0,0,0
join_percentage_0,1,8,1,0.741,3,0.71,1.07,1.78,3.93,0.0,6734143488,1529872384,8264015872,0,1682,0,56098816,0,246,407,12,22,2303,4116,0,0,0,0
join_percentage_0,1,9,1,0.8453,3,0.77,1.3,2.0700000000000003,4.41,0.01,6721204224,1529872384,8251076608,0,3408,0,84492288,0,389,618,12,22,2303,4116,0,0,0,0
join_percentage_0,1,10,1,0.953,3,0.8,1.49,2.29,5.02,0.01,6719066112,1529872384,8248938496,0,4480,0,102105088,0,481,832,13,23,2449,4230,0,0,0,0
join_percentage_0,1,11,1,1.0592,3,0.82,1.63,2.4499999999999997,5.66,0.02,6719229952,1529872384,8249102336,0,5472,0,118358016,0,578,1044,13,23,2449,4230,0,0,0,0
join_percentage_0,1,12,1,1.1653,3,0.83,1.76,2.59,6.34,0.02,6701789184,1529872384,8231661568,0,6151,0,129490944,0,655,1188,13,23,2449,4230,0,0,0,0
join_percentage_0,1,13,1,1.2703,3,0.92,1.94,2.86,6.89,0.02,6716444672,1529872384,8246317056,0,6197,0,136470528,0,688,1246,33,51,6175,20949,0,0,0,0
join_percentage_0,1,14,1,1.3765,3,1.04,2.22,3.2600000000000002,7.28,0.03,6698201088,1529872384,8228073472,0,7067,0,158179328,0,784,1429,49,60,8542,33938,0,0,0,0
