name,run,index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
join_percentage_100.0,1,1,1,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
join_percentage_100.0,1,2,1,0.1068,3,0.14,0.12,0.26,0.56,0.0,6722301952,1529872384,8252174336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
join_percentage_100.0,1,3,1,0.2121,3,0.27,0.24,0.51,1.1,0.01,6724132864,1529872384,8254005248,0,28,0,294912,0,29,32,7,15,1429,3332,0,0,0,0
join_percentage_100.0,1,4,1,0.3176,3,0.36,0.36,0.72,1.72,0.01,6726807552,1529872384,8256679936,0,28,0,294912,0,29,32,9,17,2013,3540,0,0,0,0
join_percentage_100.0,1,5,1,0.4221,3,0.4,0.49,0.89,2.37,0.01,6726807552,1529872384,8256679936,0,66,0,10256384,0,106,80,10,19,2079,3792,0,0,0,0
join_percentage_100.0,1,6,1,0.5269,3,0.45,0.63,1.08,2.99,0.01,6717227008,1529872384,8247099392,0,310,0,32456704,0,170,185,11,20,2173,3886,0,0,0,0
join_percentage_100.0,1,7,1,0.6346,3,0.48,0.81,1.29,3.62,0.01,6692089856,1529872384,8221962240,0,1328,0,49217536,0,272,399,12,21,2267,3980,0,0,0,0
join_percentage_100.0,1,8,1,0.739,3,0.53,1.12,1.6500000000000001,4.05,0.01,6670499840,1529872384,8200372224,0,2933,0,75579392,0,415,609,12,21,2267,3980,0,0,0,0
join_percentage_100.0,1,9,1,0.8477,3,0.59,1.44,2.03,4.51,0.01,6670467072,1529872384,8200339456,0,3850,0,90603520,0,493,825,12,21,2267,3980,0,0,0,0
join_percentage_100.0,1,10,1,0.9542,3,0.65,1.77,2.42,4.92,0.01,6673911808,1529872384,8203784192,0,5103,0,112820224,0,611,1039,12,21,2267,3980,0,0,0,0
join_percentage_100.0,1,11,1,1.0638,3,0.77,2.06,2.83,5.34,0.01,6672646144,1529872384,8202518528,0,6113,0,133357568,0,718,1238,12,21,2267,3980,0,0,0,0
join_percentage_100.0,1,12,1,1.1703,3,0.79,2.17,2.96,6.04,0.01,6674100224,1529872384,8203972608,0,6113,0,133357568,0,718,1238,12,21,2267,3980,0,0,0,0
join_percentage_100.0,1,13,1,1.2743,3,0.88,2.5,3.38,6.41,0.01,6683176960,1529872384,8213049344,0,6609,0,153870336,0,862,1397,33,53,7068,26876,0,0,0,0
