id,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
21,V_1-18,V_2-11,V_3-11,V_4-11,V_5-11,V_6-11,V_7-11,V_8-11,V_9-11,V_10-11
22,V_1-18,V_2-12,V_3-12,V_4-12,V_5-12,V_6-12,V_7-12,V_8-12,V_9-12,V_10-12
23,V_1-10,V_2-13,V_3-13,V_4-13,V_5-13,V_6-13,V_7-13,V_8-13,V_9-13,V_10-13
24,V_1-18,V_2-14,V_3-14,V_4-14,V_5-14,V_6-14,V_7-14,V_8-14,V_9-14,V_10-14
25,V_1-18,V_2-15,V_3-15,V_4-15,V_5-15,V_6-15,V_7-15,V_8-15,V_9-15,V_10-15
26,V_1-18,V_2-16,V_3-16,V_4-16,V_5-16,V_6-16,V_7-16,V_8-16,V_9-16,V_10-16
27,V_1-18,V_2-17,V_3-17,V_4-17,V_5-17,V_6-17,V_7-17,V_8-17,V_9-17,V_10-17
28,V_1-10,V_2-18,V_3-18,V_4-18,V_5-18,V_6-18,V_7-18,V_8-18,V_9-18,V_10-18
29,V_1-10,V_2-19,V_3-19,V_4-19,V_5-19,V_6-19,V_7-19,V_8-19,V_9-19,V_10-19
30,V_1-10,V_2-20,V_3-20,V_4-20,V_5-20,V_6-20,V_7-20,V_8-20,V_9-20,V_10-20
31,V_1-10,V_2-21,V_3-21,V_4-21,V_5-21,V_6-21,V_7-21,V_8-21,V_9-21,V_10-21
32,V_1-10,V_2-22,V_3-22,V_4-22,V_5-22,V_6-22,V_7-22,V_8-22,V_9-22,V_10-22
33,V_1-10,V_2-23,V_3-23,V_4-23,V_5-23,V_6-23,V_7-23,V_8-23,V_9-23,V_10-23
34,V_1-10,V_2-24,V_3-24,V_4-24,V_5-24,V_6-24,V_7-24,V_8-24,V_9-24,V_10-24
35,V_1-18,V_2-25,V_3-25,V_4-25,V_5-25,V_6-25,V_7-25,V_8-25,V_9-25,V_10-25
36,V_1-10,V_2-26,V_3-26,V_4-26,V_5-26,V_6-26,V_7-26,V_8-26,V_9-26,V_10-26
37,V_1-18,V_2-27,V_3-27,V_4-27,V_5-27,V_6-27,V_7-27,V_8-27,V_9-27,V_10-27
38,V_1-18,V_2-28,V_3-28,V_4-28,V_5-28,V_6-28,V_7-28,V_8-28,V_9-28,V_10-28
39,V_1-10,V_2-29,V_3-29,V_4-29,V_5-29,V_6-29,V_7-29,V_8-29,V_9-29,V_10-29
40,V_1-18,V_2-30,V_3-30,V_4-30,V_5-30,V_6-30,V_7-30,V_8-30,V_9-30,V_10-30
