name,run,index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
join_relation_10_1_75.0,1,1,1,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
join_relation_10_1_75.0,1,2,1,0.1075,3,0.09,0.07,0.16,0.67,0.0,6789632000,1523056640,8312688640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
join_relation_10_1_75.0,1,3,1,0.2134,3,0.25,0.21,0.45999999999999996,1.17,0.0,6790561792,1523056640,8313618432,0,0,0,0,0,0,0,23,46,3596,7013,0,0,0,0
join_relation_10_1_75.0,1,4,1,0.3248,3,0.37,0.33,0.7,1.77,0.0,6791077888,1523056640,8314134528,0,0,0,0,0,0,0,23,46,3596,7013,0,0,0,0
join_relation_10_1_75.0,1,5,1,0.4352,3,0.41,0.46,0.87,2.47,0.0,6792126464,1523056640,8315183104,0,0,0,0,0,0,13,26,48,3822,7265,0,0,0,0
join_relation_10_1_75.0,1,6,1,0.5435,3,0.45,0.6,1.05,3.13,0.0,6793207808,1523056640,8316264448,0,34,0,8396800,0,67,45,27,50,3916,7453,0,0,0,0
join_relation_10_1_75.0,1,7,1,0.6533,3,0.53,0.89,1.42,3.57,0.01,6762000384,1523056640,8285057024,0,1080,0,42262528,0,206,250,27,50,3916,7453,0,0,0,0
join_relation_10_1_75.0,1,8,1,0.7627,3,0.63,1.17,1.7999999999999998,4.0,0.01,6761832448,1523056640,8284889088,0,2219,0,60874752,0,292,467,27,50,3916,7453,0,0,0,0
join_relation_10_1_75.0,1,9,1,0.872,3,0.67,1.34,2.0100000000000002,4.61,0.01,6756917248,1523056640,8279973888,0,3339,0,79224832,0,368,682,27,50,3916,7453,0,0,0,0
join_relation_10_1_75.0,1,10,1,0.9769,3,0.67,1.49,2.16,5.27,0.01,6754291712,1523056640,8277348352,0,4480,0,97918976,0,458,891,27,50,3916,7453,0,0,0,0
join_relation_10_1_75.0,1,11,1,1.0817,3,0.68,1.63,2.31,5.95,0.01,6754861056,1523056640,8277917696,0,5361,0,112295936,0,537,1076,27,50,3916,7453,0,0,0,0
join_relation_10_1_75.0,1,12,1,1.1865,3,0.72,1.79,2.51,6.54,0.01,6765158400,1523056640,8288215040,2,5415,32768,126451712,1,580,1147,41,65,5812,10018,0,0,0,0
