name,run,index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
join_relation_3_3_0,1,1,1,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
join_relation_3_3_0,1,2,1,0.1061,3,0.08,0.06,0.14,0.67,0.0,6508191744,1574436864,8082628608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
join_relation_3_3_0,1,3,1,0.2118,3,0.17,0.13,0.30000000000000004,1.34,0.0,6495969280,1574436864,8070406144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
join_relation_3_3_0,1,4,1,0.3161,3,0.21,0.25,0.45999999999999996,2.0,0.0,6495969280,1574436864,8070406144,0,0,0,0,0,0,0,22,38,3497,6306,0,0,0,0
join_relation_3_3_0,1,5,1,0.4215,3,0.23,0.41,0.64,2.65,0.0,6499160064,1574436864,8073596928,0,52,0,13115392,0,87,63,22,38,3497,6306,0,0,0,0
join_relation_3_3_0,1,6,1,0.5254,3,0.28,0.58,0.86,3.22,0.0,6482128896,1574436864,8056565760,0,1035,0,40034304,0,183,267,23,40,3563,6558,0,0,0,0
join_relation_3_3_0,1,7,1,0.6297,3,0.31,0.74,1.05,3.82,0.0,6481678336,1574436864,8056115200,0,2771,0,68509696,0,293,477,25,42,3751,6746,0,0,0,0
join_relation_3_3_0,1,8,1,0.7364,3,0.39,1.01,1.4,4.27,0.0,6458970112,1574436864,8033406976,0,3690,0,83337216,0,368,691,25,42,3751,6746,0,0,0,0
join_relation_3_3_0,1,9,1,0.8439,3,0.47,1.22,1.69,4.79,0.0,6453456896,1574436864,8027893760,0,4586,0,98017280,0,440,903,25,42,3751,6746,0,0,0,0
join_relation_3_3_0,1,10,1,0.9486,3,0.48,1.37,1.85,5.44,0.0,6453149696,1574436864,8027586560,0,5578,0,114212864,0,516,1071,25,42,3751,6746,0,0,0,0
join_relation_3_3_0,1,11,1,1.0528,3,0.48,1.5,1.98,6.11,0.0,6455635968,1574436864,8030072832,0,6077,0,137232384,0,582,1185,25,42,3751,6746,0,0,0,0
join_relation_3_3_0,1,12,1,1.161,3,0.73,1.7,2.4299999999999997,6.47,0.03,6460645376,1574436864,8035082240,0,6466,0,142647296,0,708,1359,25,42,3751,6746,0,0,0,0
join_relation_3_3_0,1,13,1,1.2699,3,0.88,1.8,2.68,7.05,0.03,6466056192,1574436864,8040493056,0,6501,0,142909440,0,733,1390,29,48,4297,7587,0,0,0,0
join_relation_3_3_0,1,14,1,1.3767,3,0.93,1.91,2.84,7.67,0.06,6473666560,1574436864,8048103424,0,6611,0,143736832,0,799,1469,39,58,7614,14949,0,0,0,0
join_relation_3_3_0,1,15,1,1.4816,3,1.09,2.04,3.13,8.19,0.06,6478237696,1574436864,8052674560,0,6611,0,143736832,0,799,1469,43,60,11094,15157,0,0,0,0
join_relation_3_3_0,1,16,1,1.5934,3,1.21,2.09,3.3,8.89,0.06,6505357312,1574436864,8079794176,0,6611,0,143736832,0,799,1469,43,61,11094,15271,0,0,0,0
join_relation_3_3_0,1,17,1,1.7007,3,1.33,2.2,3.5300000000000002,9.49,0.07,6507077632,1574436864,8081514496,0,6653,0,144072704,0,831,1511,43,66,11094,15809,0,0,0,0
