name,run,index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
namedgraph_10_10_1_10_False,1,1,1,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
namedgraph_10_10_1_10_False,1,2,1,0.1093,3,0.12,0.26,0.38,0.43,0.0,6738804736,1698168832,8436973568,0,920,0,15073280,0,75,220,59,60,6698,6464,0,0,0,0
namedgraph_10_10_1_10_False,1,3,1,0.2156,3,0.21,0.49,0.7,0.9,0.0,6737350656,1698168832,8435519488,0,1712,0,28098560,0,148,426,60,62,6764,6716,0,0,0,0
namedgraph_10_10_1_10_False,1,4,1,0.3211,3,0.28,0.67,0.9500000000000001,1.45,0.0,6738309120,1698168832,8436477952,0,2927,0,49496064,0,253,638,61,63,6858,6810,0,0,0,0
namedgraph_10_10_1_10_False,1,5,1,0.426,3,0.31,0.81,1.12,2.1,0.0,6737240064,1698168832,8435408896,0,3646,0,61169664,0,317,786,62,64,6952,6904,0,0,0,0
namedgraph_10_10_1_10_False,1,6,1,0.5309,3,0.38,0.97,1.35,2.67,0.0,6736805888,1698168832,8434974720,4,4063,65536,80781312,1,377,908,69,71,7879,8274,0,0,0,0
namedgraph_10_10_1_10_False,1,7,1,0.6358,3,0.5,1.24,1.74,3.07,0.0,6740996096,1698168832,8439164928,10,4187,163840,98435072,2,431,1011,69,71,7879,8274,0,0,0,0
namedgraph_10_10_1_10_False,1,8,1,0.7496,3,0.7,1.49,2.19,3.47,0.02,6733811712,1698168832,8431980544,10,4978,163840,110641152,2,542,1192,69,71,7879,8274,0,0,0,0
namedgraph_10_10_1_10_False,1,9,1,0.8574,3,1.03,1.71,2.74,3.75,0.02,6742794240,1698168832,8440963072,10,5074,163840,111403008,2,601,1274,70,72,7965,8380,0,0,0,0
namedgraph_10_10_1_10_False,1,10,1,0.9625,3,1.1,1.78,2.88,4.42,0.03,6745157632,1698168832,8443326464,10,5086,163840,111493120,2,604,1280,74,78,8715,9266,0,0,0,0
namedgraph_10_10_1_10_False,1,11,1,1.0669,3,1.25,1.94,3.19,4.89,0.05,6755868672,1698168832,8454037504,10,5186,163840,112230400,2,653,1348,82,91,10997,16995,0,0,0,0
namedgraph_10_10_1_10_False,1,12,1,1.1763,3,1.44,2.18,3.62,5.3,0.06,6763532288,1698168832,8461701120,10,5200,163840,112328704,2,662,1359,88,93,12504,17254,0,0,0,0
namedgraph_10_10_1_10_False,1,13,1,1.2865,3,1.59,2.29,3.88,5.9,0.06,6781059072,1698168832,8479227904,10,5200,163840,112328704,2,662,1359,88,93,12504,17254,0,0,0,0
namedgraph_10_10_1_10_False,1,14,1,1.3922,3,1.7,2.37,4.07,6.54,0.06,6783582208,1698168832,8481751040,10,5200,163840,112328704,2,662,1359,88,93,12504,17254,0,0,0,0
namedgraph_10_10_1_10_False,1,15,1,1.497,3,1.85,2.46,4.3100000000000005,7.11,0.06,6762074112,1698168832,8460242944,12,5224,196608,112508928,9,686,1389,94,103,15214,18934,0,0,0,0
namedgraph_10_10_1_10_False,1,16,1,1.6044,3,2.0,2.74,4.74,7.49,0.07,6763077632,1698168832,8461246464,141,5240,6774784,112656384,112,699,1462,98,107,15873,19390,0,0,0,0
namedgraph_10_10_1_10_False,1,17,1,1.7093,3,2.18,3.0,5.18,7.83,0.08,6768930816,1698168832,8467099648,191,5240,11943936,112656384,156,699,1496,99,109,15995,19632,0,0,0,0
namedgraph_10_10_1_10_False,1,18,1,1.8176,3,2.35,3.42,5.77,8.04,0.09,6788018176,1698168832,8486187008,488,5240,37216256,112656384,490,699,1635,99,109,15995,19632,0,0,0,0
namedgraph_10_10_1_10_False,1,19,1,1.9263,3,2.57,3.75,6.32,8.31,0.11,6784286720,1698168832,8482455552,690,5240,58179584,112656384,674,699,1735,101,113,16158,20291,0,0,0,0
namedgraph_10_10_1_10_False,1,20,1,2.0357,3,2.67,3.86,6.529999999999999,8.94,0.11,6797316096,1698168832,8495484928,690,5248,58179584,112730112,674,705,1743,103,118,16745,20948,0,0,0,0
namedgraph_10_10_1_10_False,1,21,1,2.1411,3,2.69,3.91,6.6,9.71,0.11,6797316096,1698168832,8495484928,690,5248,58179584,112730112,674,705,1743,103,119,16745,21034,0,0,0,0
namedgraph_10_10_1_10_False,1,22,1,2.2462,3,2.72,3.92,6.640000000000001,10.5,0.11,6797574144,1698168832,8495742976,690,5248,58179584,112730112,674,705,1743,103,121,16745,21142,0,0,0,0
namedgraph_10_10_1_10_False,1,23,1,2.3512,3,2.82,4.02,6.84,11.11,0.11,6798090240,1698168832,8496259072,690,5248,58179584,112730112,674,705,1743,103,121,16745,21142,0,0,0,0
namedgraph_10_10_1_10_False,1,24,1,2.4598,3,2.9,4.11,7.01,11.78,0.11,6795685888,1698168832,8493854720,690,5248,58179584,112730112,674,705,1743,103,121,16745,21142,0,0,0,0
namedgraph_10_10_1_10_False,1,25,1,2.5653,3,2.95,4.14,7.09,12.53,0.11,6795685888,1698168832,8493854720,690,5248,58179584,112730112,674,705,1743,103,121,16745,21142,0,0,0,0
namedgraph_10_10_1_10_False,1,26,1,2.6706,3,2.96,4.18,7.14,13.31,0.11,6795685888,1698168832,8493854720,690,5248,58179584,112730112,674,705,1743,103,121,16745,21142,0,0,0,0
namedgraph_10_10_1_10_False,1,27,1,2.7768,3,2.96,4.18,7.14,14.16,0.11,6795685888,1698168832,8493854720,690,5248,58179584,112730112,674,705,1743,103,121,16745,21142,0,0,0,0
namedgraph_10_10_1_10_False,1,28,1,2.883,3,2.98,4.19,7.17,14.96,0.12,6795923456,1698168832,8494092288,690,5270,58179584,112902144,674,734,1777,103,121,16745,21142,0,0,0,0
namedgraph_10_10_1_10_False,1,29,1,2.9883,3,2.99,4.19,7.180000000000001,15.78,0.12,6795923456,1698168832,8494092288,690,5270,58179584,112902144,674,734,1777,104,122,16891,21256,0,0,0,0
namedgraph_10_10_1_10_False,1,30,1,3.0942,3,3.05,4.23,7.28,16.52,0.12,6795124736,1698168832,8493293568,690,5270,58179584,112902144,674,734,1777,105,128,17037,21915,0,0,0,0
namedgraph_10_10_1_10_False,1,31,1,3.1993,3,3.06,4.26,7.32,17.32,0.12,6795116544,1698168832,8493285376,690,5270,58179584,112902144,674,734,1777,107,130,17301,22226,0,0,0,0
namedgraph_10_10_1_10_False,1,32,1,3.3055,3,3.06,4.26,7.32,18.16,0.12,6795116544,1698168832,8493285376,690,5270,58179584,112902144,674,734,1777,107,132,17301,22593,0,0,0,0
namedgraph_10_10_1_10_False,1,33,1,3.4118,3,3.07,4.27,7.34,18.99,0.12,6795104256,1698168832,8493273088,690,5296,58179584,113065984,674,913,1793,107,132,17301,22593,0,0,0,0
namedgraph_10_10_1_10_False,1,34,1,3.517,3,3.13,4.32,7.45,19.71,0.12,6793248768,1698168832,8491417600,690,5296,58179584,113065984,674,913,1793,107,133,17301,22810,0,0,0,0
namedgraph_10_10_1_10_False,1,35,1,3.6223,3,3.25,4.42,7.67,20.3,0.12,6793506816,1698168832,8491675648,690,5296,58179584,113065984,674,913,1793,107,133,17301,22810,0,0,0,0
namedgraph_10_10_1_10_False,1,36,1,3.7273,3,3.27,4.46,7.73,21.08,0.12,6793502720,1698168832,8491671552,690,5296,58179584,113065984,674,913,1793,107,134,17301,23027,0,0,0,0
namedgraph_10_10_1_10_False,1,37,1,3.8336,3,3.27,4.46,7.73,21.92,0.12,6793502720,1698168832,8491671552,690,5296,58179584,113065984,674,913,1793,107,134,17301,23027,0,0,0,0
namedgraph_10_10_1_10_False,1,38,1,3.9398,3,3.28,4.46,7.74,22.76,0.12,6793502720,1698168832,8491671552,690,5296,58179584,113065984,674,913,1793,107,136,17301,23362,0,0,0,0
namedgraph_10_10_1_10_False,1,39,1,4.0458,3,3.28,4.46,7.74,23.6,0.12,6793502720,1698168832,8491671552,690,5296,58179584,113065984,674,913,1793,107,136,17301,23362,0,0,0,0
namedgraph_10_10_1_10_False,1,40,1,4.1518,3,3.34,4.52,7.859999999999999,24.32,0.12,6793502720,1698168832,8491671552,690,5296,58179584,113065984,674,913,1793,147,267,23149,42149,0,0,0,0
namedgraph_10_10_1_10_False,1,41,1,4.257,3,3.42,4.59,8.01,25.0,0.12,6793502720,1698168832,8491671552,690,5296,58179584,113065984,674,913,1793,201,321,28907,47456,0,0,0,0
namedgraph_10_10_1_10_False,1,42,1,4.3622,3,3.49,4.67,8.16,25.65,0.12,6793760768,1698168832,8491929600,690,5296,58179584,113065984,674,913,1793,202,326,29029,48072,0,0,0,0
namedgraph_10_10_1_10_False,1,43,1,4.4673,3,3.5,4.68,8.18,26.47,0.12,6791733248,1698168832,8489902080,690,5296,58179584,113065984,674,913,1793,205,330,29283,49685,0,0,0,0
namedgraph_10_10_1_10_False,1,44,1,4.5723,3,3.63,4.74,8.370000000000001,27.09,0.12,6791143424,1698168832,8489312256,690,5296,58179584,113065984,674,913,1793,214,340,30398,52546,0,0,0,0
namedgraph_10_10_1_10_False,1,45,1,4.6774,3,3.76,4.86,8.620000000000001,27.65,0.12,6788677632,1698168832,8486846464,690,5296,58179584,113065984,674,913,1793,221,350,31429,54554,0,0,0,0
namedgraph_10_10_1_10_False,1,46,1,4.7852,3,3.89,4.96,8.85,28.26,0.12,6789398528,1698168832,8487567360,690,5296,58179584,113065984,674,913,1793,236,363,39377,58770,0,0,0,0
namedgraph_10_10_1_10_False,1,47,1,4.8906,3,3.98,5.05,9.03,28.89,0.12,6789386240,1698168832,8487555072,690,5298,58179584,113074176,674,927,1809,241,367,40099,59250,0,0,0,0
namedgraph_10_10_1_10_False,1,48,1,4.9959,3,4.05,5.15,9.2,29.54,0.12,6789623808,1698168832,8487792640,690,5298,58179584,113074176,674,927,1809,246,374,40936,60230,0,0,0,0
namedgraph_10_10_1_10_False,1,49,1,5.1013,3,4.08,5.18,9.26,30.31,0.12,6778216448,1698168832,8476385280,690,5298,58179584,113074176,674,927,1809,251,383,41574,63810,0,0,0,0
namedgraph_10_10_1_10_False,1,50,1,5.2063,3,4.16,5.23,9.39,31.0,0.12,6777761792,1698168832,8475930624,690,5298,58179584,113074176,674,927,1809,268,398,48568,69777,0,0,0,0
namedgraph_10_10_1_10_False,1,51,1,5.3116,3,4.16,5.23,9.39,31.84,0.12,6777761792,1698168832,8475930624,690,5298,58179584,113074176,674,927,1809,268,398,48568,69777,0,0,0,0
namedgraph_10_10_1_10_False,1,52,1,5.4175,3,4.17,5.23,9.4,32.67,0.12,6777761792,1698168832,8475930624,690,5298,58179584,113074176,674,927,1809,268,398,48568,69777,0,0,0,0
namedgraph_10_10_1_10_False,1,53,1,5.5226,3,4.25,5.25,9.5,33.4,0.13,6777876480,1698168832,8476045312,692,5298,58212352,113074176,688,927,1825,277,406,51809,71281,0,0,0,0
namedgraph_10_10_1_10_False,1,54,1,5.6275,3,4.34,5.35,9.69,34.02,0.13,6778134528,1698168832,8476303360,692,5298,58212352,113074176,688,927,1825,278,407,51937,71375,0,0,0,0
namedgraph_10_10_1_10_False,1,55,1,5.7337,3,4.43,5.43,9.86,34.68,0.13,6778380288,1698168832,8476549120,692,5298,58212352,113074176,688,927,1825,278,407,51937,71375,0,0,0,0
