name,run,index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
raw_10_2_10,1,1,1,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
raw_10_2_10,1,2,1,0.1074,3,0.11,0.07,0.18,0.64,0.0,7727857664,515637248,8243494912,0,0,0,0,0,0,0,1,1,809,94,0,0,0,0
raw_10_2_10,1,3,1,0.2129,3,0.3,0.17,0.47,1.15,0.0,7722848256,515637248,8238485504,0,0,0,0,0,0,0,1,1,809,94,0,0,0,0
raw_10_2_10,1,4,1,0.3176,3,0.46,0.43,0.89,1.53,0.0,7723618304,515637248,8239255552,2,76,32768,19922944,2,87,109,1,1,809,94,0,0,0,0
raw_10_2_10,1,5,1,0.4245,3,0.57,0.67,1.24,1.96,0.01,7713607680,515637248,8229244928,4,1021,65536,43704320,6,187,292,1,1,809,94,0,0,0,0
raw_10_2_10,1,6,1,0.5297,3,0.6,0.83,1.43,2.59,0.01,7713689600,515637248,8229326848,4,1442,65536,58482688,6,252,405,2,2,935,188,0,0,0,0
raw_10_2_10,1,7,1,0.6346,3,0.75,1.0,1.75,3.06,0.03,7715430400,515637248,8231067648,4,1994,65536,66502656,6,369,574,2,2,935,188,0,0,0,0
raw_10_2_10,1,8,1,0.7438,3,0.99,1.18,2.17,3.46,0.06,7719804928,515637248,8235442176,4,2138,65536,67584000,6,449,678,2,2,935,188,0,0,0,0
raw_10_2_10,1,9,1,0.853,3,1.12,1.34,2.46,4.01,0.06,7725965312,515637248,8241602560,4,2138,65536,67584000,6,449,678,2,2,935,188,0,0,0,0
raw_10_2_10,1,10,1,0.9594,3,1.21,1.4,2.61,4.68,0.07,7747125248,515637248,8262762496,4,2158,65536,67747840,6,463,694,2,2,935,188,0,0,0,0
